john23,swap,0.408,c4
john23,translation,0,c4
john23,synonym-0.4,0.818,c4
john23,copypaste-1-10,0.01392111369,c4
john23,copypaste-3-10,0.07424593968,c4
john23,copypaste-1-25,0.08816705336,c4
john23,copypaste-3-25,0.3480278422,c4
john23,ContractionAttack,0.864,c4
john23,ExpansionAttack,0.892,c4
john23,MisspellingAttack,0.78,c4
john23,dipper_l20_o0,0.512,c4
john23,dipper_l40_o0,0.3076923077,c4
john23,LowercaseAttack,0.75,c4
john23,TypoAttack,0.34,c4
john23,CLEAN,0.896,c4
xuandong23b,swap,0.8429003021,c4
xuandong23b,translation,1,c4
xuandong23b,synonym-0.4,0.75,c4
xuandong23b,copypaste-1-10,0.02479338843,c4
xuandong23b,copypaste-3-10,0.05371900826,c4
xuandong23b,copypaste-1-25,0.04958677686,c4
xuandong23b,copypaste-3-25,0.1900826446,c4
xuandong23b,ContractionAttack,0.790560472,c4
xuandong23b,ExpansionAttack,0.8228228228,c4
xuandong23b,MisspellingAttack,0.7549295775,c4
xuandong23b,dipper_l20_o0,0.6808510638,c4
xuandong23b,dipper_l40_o0,0.594095941,c4
xuandong23b,LowercaseAttack,0.6966966967,c4
xuandong23b,TypoAttack,0.3571428571,c4
xuandong23b,CLEAN,0.8138138138,c4
aiwei23,swap,0.388,c4
aiwei23,translation,0,c4
aiwei23,synonym-0.4,0.512,c4
aiwei23,copypaste-1-10,0.004662004662,c4
aiwei23,copypaste-3-10,0.002331002331,c4
aiwei23,copypaste-1-25,0.002331002331,c4
aiwei23,copypaste-3-25,0.006993006993,c4
aiwei23,ContractionAttack,0.502,c4
aiwei23,ExpansionAttack,0.598,c4
aiwei23,MisspellingAttack,0.392,c4
aiwei23,dipper_l20_o0,0.33,c4
aiwei23,dipper_l40_o0,0.3144016227,c4
aiwei23,LowercaseAttack,0.494,c4
aiwei23,TypoAttack,0.018,c4
aiwei23,CLEAN,0.588,c4
rohith23,swap,0.3326488706,c4
rohith23,translation,0,c4
rohith23,synonym-0.4,0.738,c4
rohith23,copypaste-1-10,0.02108433735,c4
rohith23,copypaste-3-10,0.04518072289,c4
rohith23,copypaste-1-25,0.04518072289,c4
rohith23,copypaste-3-25,0.3072289157,c4
rohith23,ContractionAttack,0.7354709419,c4
rohith23,ExpansionAttack,0.7252525253,c4
rohith23,MisspellingAttack,0.824,c4
rohith23,dipper_l20_o0,0.4285714286,c4
rohith23,dipper_l40_o0,0.2840095465,c4
rohith23,LowercaseAttack,0.622,c4
rohith23,TypoAttack,0.888,c4
rohith23,CLEAN,0.7898989899,c4
xiaoniu23,swap,0.016,c4
xiaoniu23,translation,0,c4
xiaoniu23,synonym-0.4,0.614,c4
xiaoniu23,copypaste-1-10,0,c4
xiaoniu23,copypaste-3-10,0,c4
xiaoniu23,copypaste-1-25,0,c4
xiaoniu23,copypaste-3-25,0.021875,c4
xiaoniu23,ContractionAttack,0.926,c4
xiaoniu23,ExpansionAttack,0.94,c4
xiaoniu23,MisspellingAttack,0.65,c4
xiaoniu23,dipper_l20_o0,0.1291028446,c4
xiaoniu23,dipper_l40_o0,0.03286384977,c4
xiaoniu23,LowercaseAttack,0.512,c4
xiaoniu23,TypoAttack,0.03,c4
xiaoniu23,CLEAN,0.946,c4
aiwei23b,swap,0.076,c4
aiwei23b,translation,0,c4
aiwei23b,synonym-0.4,0.064,c4
aiwei23b,copypaste-1-10,0.034,c4
aiwei23b,copypaste-3-10,0.026,c4
