fpr,tpr,type
0.106557377,0.483606557,dipper
0.118852459,0.483606557,dipper
0.12295082,0.483606557,dipper
0.131147541,0.491803279,dipper
0.135245902,0.491803279,dipper
0.135245902,0.5,dipper
0.143442623,0.5,dipper
0.143442623,0.508196721,dipper
0.147540984,0.508196721,dipper
0.151639344,0.512295082,dipper
0.155737705,0.512295082,dipper
0.155737705,0.516393443,dipper
0.159836066,0.520491803,dipper
0.159836066,0.528688525,dipper
0.168032787,0.528688525,dipper
0.168032787,0.540983607,dipper
0.172131148,0.549180328,dipper
0.172131148,0.56147541,dipper
0.176229508,0.56147541,dipper
0.176229508,0.56557377,dipper
0.18442623,0.56557377,dipper
0.18852459,0.569672131,dipper
0.18852459,0.577868852,dipper
0.196721311,0.577868852,dipper
0.200819672,0.577868852,dipper
0.200819672,0.581967213,dipper
0.204918033,0.586065574,dipper
0.209016393,0.586065574,dipper
0.209016393,0.590163934,dipper
0.209016393,0.598360656,dipper
0.217213115,0.598360656,dipper
0.217213115,0.606557377,dipper
0.229508197,0.606557377,dipper
0.229508197,0.610655738,dipper
0.233606557,0.614754098,dipper
0.237704918,0.614754098,dipper
0.237704918,0.62295082,dipper
0.237704918,0.631147541,dipper
0.237704918,0.635245902,dipper
0.241803279,0.643442623,dipper
0.245901639,0.647540984,dipper
0.245901639,0.655737705,dipper
0.25,0.655737705,dipper
0.254098361,0.663934426,dipper
0.254098361,0.668032787,dipper
0.262295082,0.668032787,dipper
0.262295082,0.676229508,dipper
0.266393443,0.676229508,dipper
0.266393443,0.68852459,dipper
0.270491803,0.68852459,dipper
0.270491803,0.696721311,dipper
0.278688525,0.696721311,dipper
0.278688525,0.700819672,dipper
0.282786885,0.700819672,dipper
0.282786885,0.709016393,dipper
0.286885246,0.709016393,dipper
0.295081967,0.709016393,dipper
0.295081967,0.717213115,dipper
0.299180328,0.725409836,dipper
0.303278689,0.725409836,dipper
0.307377049,0.733606557,dipper
0.31147541,0.733606557,dipper
0.31557377,0.741803279,dipper
0.319672131,0.741803279,dipper
0.319672131,0.758196721,dipper
0.327868852,0.758196721,dipper
0.340163934,0.758196721,dipper
0.340163934,0.762295082,dipper
0.344262295,0.762295082,dipper
0.344262295,0.766393443,dipper
0.352459016,0.766393443,dipper
0.352459016,0.774590164,dipper
0.352459016,0.778688525,dipper
0.352459016,0.786885246,dipper
0.360655738,0.786885246,dipper
0.37295082,0.786885246,dipper
0.37295082,0.790983607,dipper
0.381147541,0.795081967,dipper
0.381147541,0.799180328,dipper
